# WaveDec output file
# Frequency	Amplitude	Wavenumber	Velocity	Azimuth	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]	[rad]
3.450e+00	2.290e-03	7.072e-03	4.878e+02	2.856e+00	-6.319e-01
3.950e+00	2.637e-03	2.063e-03	1.914e+03	-1.938e+00	4.604e-01
4.199e+00	3.114e-03	1.793e-02	2.342e+02	2.854e+00	2.968e-01
4.699e+00	2.055e-03	2.162e-02	2.173e+02	2.965e+00	6.162e-01
4.899e+00	2.691e-03	2.283e-02	2.146e+02	2.886e+00	5.148e-01
5.149e+00	2.099e-03	7.524e-03	6.844e+02	-5.877e-01	-1.407e+00
5.649e+00	1.697e-03	3.014e-02	1.875e+02	2.278e+00	9.730e-01
5.899e+00	1.810e-03	1.300e-02	4.539e+02	-2.111e+00	-1.443e+00
6.149e+00	1.905e-03	2.946e-02	2.088e+02	2.869e+00	4.073e-01
6.649e+00	2.274e-03	3.622e-02	1.836e+02	2.728e+00	6.995e-01
6.899e+00	1.750e-03	1.696e-02	4.068e+02	-1.426e+00	-7.996e-01
7.149e+00	1.331e-03	3.880e-02	1.843e+02	7.103e-01	4.508e-01
7.849e+00	1.226e-03	3.460e-02	2.268e+02	-6.691e-01	-6.443e-02
8.099e+00	1.539e-03	3.800e-02	2.131e+02	6.623e-01	3.522e-01
8.599e+00	1.740e-03	4.317e-02	1.992e+02	2.849e+00	5.163e-01
8.849e+00	8.581e-04	4.865e-02	1.819e+02	2.841e+00	5.232e-01
9.099e+00	9.020e-04	4.935e-02	1.844e+02	2.229e+00	2.228e-01
9.349e+00	1.196e-03	4.625e-02	2.021e+02	2.876e+00	5.763e-01
9.599e+00	1.300e-03	4.481e-02	2.142e+02	2.957e+00	2.627e-01
9.849e+00	7.125e-04	2.249e-02	4.380e+02	2.823e+00	-8.454e-01
1.010e+01	1.058e-03	5.979e-02	1.689e+02	1.804e+00	1.156e-01
1.035e+01	1.021e-03	1.653e-02	6.262e+02	2.908e+00	-1.053e+00
1.080e+01	7.735e-04	4.464e-02	2.419e+02	5.891e-01	-5.170e-01
2.950e+00	2.155e-03	5.921e-03	4.982e+02	-6.368e-01	-1.061e+00
3.700e+00	2.519e-03	9.962e-03	3.714e+02	-2.423e+00	-1.648e-01
3.950e+00	2.345e-03	1.167e-02	3.385e+02	-2.409e+00	2.324e-01
4.199e+00	1.939e-03	6.901e-03	6.086e+02	1.245e+00	2.820e-01
4.699e+00	2.565e-03	8.522e-03	5.515e+02	-2.922e-01	1.413e+00
4.899e+00	2.784e-03	2.389e-02	2.050e+02	2.490e+00	2.853e-01
5.149e+00	2.058e-03	2.971e-02	1.733e+02	-7.728e-01	2.576e-01
5.399e+00	2.073e-03	1.436e-02	3.759e+02	-9.978e-01	-1.554e+00
5.649e+00	1.386e-03	2.357e-02	2.397e+02	-5.197e-01	8.011e-01
5.899e+00	1.912e-03	3.044e-02	1.938e+02	-2.283e+00	6.279e-01
6.149e+00	1.958e-03	3.222e-02	1.909e+02	-1.218e+00	8.444e-01
6.399e+00	1.576e-03	3.156e-02	2.028e+02	-1.264e+00	7.366e-01
6.649e+00	1.419e-03	3.200e-02	2.078e+02	-2.412e+00	7.384e-01
6.899e+00	1.917e-03	3.669e-02	1.880e+02	-2.296e+00	4.471e-01
7.149e+00	1.382e-03	3.690e-02	1.937e+02	-2.709e+00	1.378e-01
7.649e+00	1.150e-03	4.231e-02	1.808e+02	-2.310e+00	6.784e-01
7.849e+00	1.153e-03	4.193e-02	1.872e+02	-1.468e+00	3.704e-01
8.349e+00	1.168e-03	4.465e-02	1.870e+02	-1.252e+00	2.607e-01
8.599e+00	1.149e-03	4.622e-02	1.860e+02	-2.273e+00	3.371e-01
8.849e+00	1.352e-03	4.620e-02	1.915e+02	-2.348e+00	7.502e-01
9.099e+00	1.331e-03	4.819e-02	1.888e+02	-2.337e+00	3.010e-01
9.599e+00	8.517e-04	4.405e-02	2.179e+02	-2.557e+00	3.270e-01
9.849e+00	1.129e-03	5.007e-02	1.967e+02	-2.486e+00	1.776e-01
1.060e+01	9.377e-04	5.829e-02	1.818e+02	-1.400e+00	4.174e-01
1.080e+01	8.032e-04	6.098e-02	1.771e+02	-1.443e+00	2.189e-01
3.450e+00	1.677e-03	4.595e-03	7.508e+02	2.165e+00	-5.900e-01
3.700e+00	1.807e-03	1.178e-02	3.142e+02	7.282e-01	-4.378e-01
4.449e+00	2.359e-03	1.165e-02	3.819e+02	-1.163e-01	7.375e-01
4.699e+00	2.282e-03	9.650e-03	4.870e+02	9.917e-01	1.479e+00
4.899e+00	2.857e-03	9.840e-03	4.979e+02	-2.145e+00	1.456e+00
5.149e+00	1.936e-03	2.057e-02	2.504e+02	3.084e-01	8.777e-01
5.649e+00	1.696e-03	2.696e-02	2.096e+02	6.317e-01	5.114e-01
5.899e+00	2.246e-03	2.778e-02	2.123e+02	4.759e-01	6.652e-01
6.149e+00	1.350e-03	2.922e-02	2.105e+02	6.277e-01	2.872e-01
