# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
2.100e+00	1.318e-02	4.419e-02	4.751e+01	1.594e+02
2.200e+00	1.318e-02	4.419e-02	4.977e+01	1.669e+02
2.300e+00	1.318e-02	4.419e-02	5.204e+01	1.745e+02
2.400e+00	1.318e-02	4.419e-02	5.430e+01	1.821e+02
2.500e+00	1.318e-02	4.419e-02	5.656e+01	1.897e+02
2.600e+00	1.318e-02	4.419e-02	5.882e+01	1.973e+02
2.700e+00	1.318e-02	4.419e-02	6.109e+01	2.049e+02
2.800e+00	1.318e-02	4.419e-02	6.335e+01	2.125e+02
2.900e+00	1.318e-02	4.419e-02	6.561e+01	2.201e+02
3.000e+00	1.318e-02	4.419e-02	6.787e+01	2.277e+02
3.100e+00	1.318e-02	4.419e-02	7.014e+01	2.352e+02
3.200e+00	1.318e-02	4.419e-02	7.240e+01	2.428e+02
3.300e+00	1.318e-02	4.419e-02	7.466e+01	2.504e+02
3.400e+00	1.318e-02	4.419e-02	7.692e+01	2.580e+02
3.500e+00	1.318e-02	4.419e-02	7.919e+01	2.656e+02
3.600e+00	1.318e-02	4.419e-02	8.145e+01	2.732e+02
3.700e+00	1.318e-02	4.419e-02	8.371e+01	2.808e+02
3.800e+00	1.318e-02	4.419e-02	8.597e+01	2.884e+02
3.900e+00	1.318e-02	4.419e-02	8.824e+01	2.960e+02
4.000e+00	1.318e-02	4.419e-02	9.050e+01	3.035e+02
4.099e+00	1.318e-02	4.419e-02	9.276e+01	3.111e+02
4.199e+00	1.318e-02	4.419e-02	9.502e+01	3.187e+02
4.299e+00	1.318e-02	4.419e-02	9.729e+01	3.263e+02
4.399e+00	1.318e-02	4.419e-02	9.955e+01	3.339e+02
4.499e+00	1.318e-02	4.419e-02	1.018e+02	3.415e+02
4.599e+00	1.318e-02	4.419e-02	1.041e+02	3.491e+02
4.699e+00	1.318e-02	4.419e-02	1.063e+02	3.567e+02
4.799e+00	1.318e-02	4.419e-02	1.086e+02	3.642e+02
4.899e+00	1.318e-02	4.419e-02	1.109e+02	3.718e+02
4.999e+00	1.318e-02	4.419e-02	1.131e+02	3.794e+02
5.099e+00	1.318e-02	4.419e-02	1.154e+02	3.870e+02
5.199e+00	1.318e-02	4.419e-02	1.176e+02	3.946e+02
5.299e+00	1.318e-02	4.419e-02	1.199e+02	4.022e+02
5.399e+00	1.318e-02	4.419e-02	1.222e+02	4.098e+02
5.499e+00	1.318e-02	4.419e-02	1.244e+02	4.174e+02
