# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
1.033e+00	8.880e-03	5.107e-02	2.023e+01	1.163e+02
1.066e+00	8.880e-03	5.107e-02	2.088e+01	1.201e+02
1.100e+00	8.880e-03	5.107e-02	2.154e+01	1.239e+02
1.133e+00	8.880e-03	5.107e-02	2.219e+01	1.276e+02
1.166e+00	8.880e-03	5.107e-02	2.284e+01	1.314e+02
1.200e+00	8.880e-03	5.107e-02	2.349e+01	1.351e+02
1.233e+00	8.880e-03	5.107e-02	2.415e+01	1.389e+02
1.266e+00	8.880e-03	5.107e-02	2.480e+01	1.426e+02
1.300e+00	8.880e-03	5.107e-02	2.545e+01	1.464e+02
1.333e+00	8.880e-03	5.107e-02	2.610e+01	1.501e+02
1.366e+00	8.880e-03	5.107e-02	2.676e+01	1.539e+02
1.400e+00	8.880e-03	5.107e-02	2.741e+01	1.576e+02
1.433e+00	8.880e-03	5.107e-02	2.806e+01	1.614e+02
1.466e+00	8.880e-03	5.107e-02	2.871e+01	1.651e+02
1.500e+00	8.880e-03	5.107e-02	2.937e+01	1.689e+02
1.533e+00	8.880e-03	5.107e-02	3.002e+01	1.726e+02
1.566e+00	8.880e-03	5.107e-02	3.067e+01	1.764e+02
1.600e+00	8.880e-03	5.107e-02	3.133e+01	1.802e+02
1.633e+00	8.880e-03	5.107e-02	3.198e+01	1.839e+02
1.666e+00	8.880e-03	5.107e-02	3.263e+01	1.877e+02
1.700e+00	8.880e-03	5.107e-02	3.328e+01	1.914e+02
1.733e+00	8.880e-03	5.107e-02	3.394e+01	1.952e+02
1.766e+00	8.880e-03	5.107e-02	3.459e+01	1.989e+02
1.800e+00	8.880e-03	5.107e-02	3.524e+01	2.027e+02
1.833e+00	8.880e-03	5.107e-02	3.589e+01	2.064e+02
1.866e+00	8.880e-03	5.107e-02	3.655e+01	2.102e+02
1.900e+00	8.880e-03	5.107e-02	3.720e+01	2.139e+02
1.933e+00	8.880e-03	5.107e-02	3.785e+01	2.177e+02
1.966e+00	8.880e-03	5.107e-02	3.850e+01	2.214e+02
2.000e+00	8.880e-03	5.107e-02	3.916e+01	2.252e+02
2.033e+00	8.880e-03	5.107e-02	3.981e+01	2.289e+02
2.066e+00	8.880e-03	5.107e-02	4.046e+01	2.327e+02
2.100e+00	8.880e-03	5.107e-02	4.111e+01	2.365e+02
2.133e+00	8.880e-03	5.107e-02	4.177e+01	2.402e+02
2.166e+00	8.880e-03	5.107e-02	4.242e+01	2.440e+02
2.200e+00	8.880e-03	5.107e-02	4.307e+01	2.477e+02
2.233e+00	8.880e-03	5.107e-02	4.372e+01	2.515e+02
2.266e+00	8.880e-03	5.107e-02	4.438e+01	2.552e+02
2.300e+00	8.880e-03	5.107e-02	4.503e+01	2.590e+02
2.333e+00	8.880e-03	5.107e-02	4.568e+01	2.627e+02
2.366e+00	8.880e-03	5.107e-02	4.633e+01	2.665e+02
2.400e+00	8.880e-03	5.107e-02	4.699e+01	2.702e+02
2.433e+00	8.880e-03	5.107e-02	4.764e+01	2.740e+02
2.466e+00	8.880e-03	5.107e-02	4.829e+01	2.777e+02
2.500e+00	8.880e-03	5.107e-02	4.895e+01	2.815e+02
2.533e+00	8.880e-03	5.107e-02	4.960e+01	2.852e+02
2.566e+00	8.880e-03	5.107e-02	5.025e+01	2.890e+02
2.600e+00	8.880e-03	5.107e-02	5.090e+01	2.927e+02
2.633e+00	8.880e-03	5.107e-02	5.156e+01	2.965e+02
2.666e+00	8.880e-03	5.107e-02	5.221e+01	3.003e+02
2.700e+00	8.880e-03	5.107e-02	5.286e+01	3.040e+02
