# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
9.998e-01	8.880e-03	5.107e-02	1.958e+01	1.126e+02
1.133e+00	8.880e-03	5.107e-02	2.219e+01	1.276e+02
1.266e+00	8.880e-03	5.107e-02	2.480e+01	1.426e+02
1.400e+00	8.880e-03	5.107e-02	2.741e+01	1.576e+02
1.533e+00	8.880e-03	5.107e-02	3.002e+01	1.726e+02
1.666e+00	8.880e-03	5.107e-02	3.263e+01	1.877e+02
1.800e+00	8.880e-03	5.107e-02	3.524e+01	2.027e+02
1.933e+00	8.880e-03	5.107e-02	3.785e+01	2.177e+02
2.066e+00	8.880e-03	5.107e-02	4.046e+01	2.327e+02
2.166e+00	8.880e-03	5.107e-02	4.242e+01	2.440e+02
2.300e+00	8.880e-03	5.107e-02	4.503e+01	2.590e+02
2.433e+00	8.880e-03	5.107e-02	4.764e+01	2.740e+02
2.566e+00	8.880e-03	5.107e-02	5.025e+01	2.890e+02
2.700e+00	8.880e-03	5.107e-02	5.286e+01	3.040e+02
2.833e+00	8.880e-03	5.107e-02	5.547e+01	3.190e+02
2.966e+00	8.880e-03	5.107e-02	5.808e+01	3.340e+02
3.099e+00	8.880e-03	5.107e-02	6.069e+01	3.490e+02
3.233e+00	8.880e-03	5.107e-02	6.330e+01	3.641e+02
3.366e+00	8.880e-03	5.107e-02	6.591e+01	3.791e+02
3.499e+00	8.880e-03	5.107e-02	6.852e+01	3.941e+02
3.633e+00	8.880e-03	5.107e-02	7.113e+01	4.091e+02
3.766e+00	8.880e-03	5.107e-02	7.374e+01	4.241e+02
3.899e+00	8.880e-03	5.107e-02	7.635e+01	4.391e+02
4.033e+00	8.880e-03	5.107e-02	7.897e+01	4.541e+02
4.166e+00	8.880e-03	5.107e-02	8.158e+01	4.691e+02
4.299e+00	8.880e-03	5.107e-02	8.419e+01	4.842e+02
4.399e+00	8.880e-03	5.107e-02	8.614e+01	4.954e+02
4.533e+00	8.880e-03	5.107e-02	8.875e+01	5.104e+02
4.666e+00	8.880e-03	5.107e-02	9.136e+01	5.254e+02
4.799e+00	8.880e-03	5.107e-02	9.398e+01	5.405e+02
4.933e+00	8.880e-03	5.107e-02	9.659e+01	5.555e+02
5.066e+00	8.880e-03	5.107e-02	9.920e+01	5.705e+02
5.199e+00	8.880e-03	5.107e-02	1.018e+02	5.855e+02
5.332e+00	8.880e-03	5.107e-02	1.044e+02	6.005e+02
5.466e+00	8.880e-03	5.107e-02	1.070e+02	6.155e+02
5.599e+00	8.880e-03	5.107e-02	1.096e+02	6.305e+02
5.732e+00	8.880e-03	5.107e-02	1.122e+02	6.455e+02
5.866e+00	8.880e-03	5.107e-02	1.149e+02	6.606e+02
5.999e+00	8.880e-03	5.107e-02	1.175e+02	6.756e+02
6.132e+00	8.880e-03	5.107e-02	1.201e+02	6.906e+02
6.266e+00	8.880e-03	5.107e-02	1.227e+02	7.056e+02
6.399e+00	8.880e-03	5.107e-02	1.253e+02	7.206e+02
6.499e+00	8.880e-03	5.107e-02	1.273e+02	7.319e+02
6.632e+00	8.880e-03	5.107e-02	1.299e+02	7.469e+02
6.766e+00	8.880e-03	5.107e-02	1.325e+02	7.619e+02
6.899e+00	8.880e-03	5.107e-02	1.351e+02	7.769e+02
7.032e+00	8.880e-03	5.107e-02	1.377e+02	7.919e+02
7.165e+00	8.880e-03	5.107e-02	1.403e+02	8.069e+02
7.299e+00	8.880e-03	5.107e-02	1.429e+02	8.219e+02
7.432e+00	8.880e-03	5.107e-02	1.455e+02	8.370e+02
7.565e+00	8.880e-03	5.107e-02	1.481e+02	8.520e+02
7.699e+00	8.880e-03	5.107e-02	1.508e+02	8.670e+02
7.832e+00	8.880e-03	5.107e-02	1.534e+02	8.820e+02
7.965e+00	8.880e-03	5.107e-02	1.560e+02	8.970e+02
8.099e+00	8.880e-03	5.107e-02	1.586e+02	9.120e+02
8.232e+00	8.880e-03	5.107e-02	1.612e+02	9.270e+02
8.365e+00	8.880e-03	5.107e-02	1.638e+02	9.421e+02
8.499e+00	8.880e-03	5.107e-02	1.664e+02	9.571e+02
8.632e+00	8.880e-03	5.107e-02	1.690e+02	9.721e+02
8.732e+00	8.880e-03	5.107e-02	1.710e+02	9.833e+02
8.865e+00	8.880e-03	5.107e-02	1.736e+02	9.983e+02
8.999e+00	8.880e-03	5.107e-02	1.762e+02	1.013e+03
9.132e+00	8.880e-03	5.107e-02	1.788e+02	1.028e+03
9.265e+00	8.880e-03	5.107e-02	1.814e+02	1.043e+03
9.398e+00	8.880e-03	5.107e-02	1.840e+02	1.058e+03
9.532e+00	8.880e-03	5.107e-02	1.866e+02	1.073e+03
9.665e+00	8.880e-03	5.107e-02	1.893e+02	1.088e+03
9.798e+00	8.880e-03	5.107e-02	1.919e+02	1.103e+03
9.932e+00	8.880e-03	5.107e-02	1.945e+02	1.118e+03
1.006e+01	8.880e-03	5.107e-02	1.971e+02	1.133e+03
1.020e+01	8.880e-03	5.107e-02	1.997e+02	1.148e+03
1.033e+01	8.880e-03	5.107e-02	2.023e+02	1.163e+03
1.046e+01	8.880e-03	5.107e-02	2.049e+02	1.179e+03
1.060e+01	8.880e-03	5.107e-02	2.075e+02	1.194e+03
1.073e+01	8.880e-03	5.107e-02	2.101e+02	1.209e+03
1.086e+01	8.880e-03	5.107e-02	2.127e+02	1.224e+03
1.096e+01	8.880e-03	5.107e-02	2.147e+02	1.235e+03
1.110e+01	8.880e-03	5.107e-02	2.173e+02	1.250e+03
1.123e+01	8.880e-03	5.107e-02	2.199e+02	1.265e+03
1.136e+01	8.880e-03	5.107e-02	2.225e+02	1.280e+03
1.150e+01	8.880e-03	5.107e-02	2.251e+02	1.295e+03
1.163e+01	8.880e-03	5.107e-02	2.278e+02	1.310e+03
1.176e+01	8.880e-03	5.107e-02	2.304e+02	1.325e+03
1.190e+01	8.880e-03	5.107e-02	2.330e+02	1.340e+03
1.203e+01	8.880e-03	5.107e-02	2.356e+02	1.355e+03
1.216e+01	8.880e-03	5.107e-02	2.382e+02	1.370e+03
1.230e+01	8.880e-03	5.107e-02	2.408e+02	1.385e+03
1.243e+01	8.880e-03	5.107e-02	2.434e+02	1.400e+03
1.256e+01	8.880e-03	5.107e-02	2.460e+02	1.415e+03
1.270e+01	8.880e-03	5.107e-02	2.486e+02	1.430e+03
1.283e+01	8.880e-03	5.107e-02	2.513e+02	1.445e+03
1.296e+01	8.880e-03	5.107e-02	2.539e+02	1.460e+03
1.306e+01	8.880e-03	5.107e-02	2.558e+02	1.471e+03
1.320e+01	8.880e-03	5.107e-02	2.584e+02	1.486e+03
1.333e+01	8.880e-03	5.107e-02	2.610e+02	1.501e+03
1.346e+01	8.880e-03	5.107e-02	2.637e+02	1.516e+03
1.360e+01	8.880e-03	5.107e-02	2.663e+02	1.531e+03
1.373e+01	8.880e-03	5.107e-02	2.689e+02	1.546e+03
1.386e+01	8.880e-03	5.107e-02	2.715e+02	1.561e+03
1.400e+01	8.880e-03	5.107e-02	2.741e+02	1.576e+03
