# WaveDec output file with array layout
# Easting	Northing	Elevation
# [m]	[m]	[m]
21.000	1.000	1.000
20.000	1.000	1.000
19.000	1.000	1.000
18.000	1.000	1.000
17.000	1.000	1.000
16.000	1.000	1.000
15.000	1.000	1.000
14.000	1.000	1.000
13.000	1.000	1.000
12.000	1.000	1.000
30.000	1.000	1.000
11.000	1.000	1.000
10.000	1.000	1.000
9.000	1.000	1.000
8.000	1.000	1.000
7.000	1.000	1.000
29.000	1.000	1.000
28.000	1.000	1.000
27.000	1.000	1.000
26.000	1.000	1.000
25.000	1.000	1.000
24.000	1.000	1.000
23.000	1.000	1.000
22.000	1.000	1.000
