# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
8.000e+00	1.343e+02	1.697e-02	4.715e+02	-1.479e+00
1.000e+01	3.425e+02	2.790e-02	3.584e+02	1.200e+00
1.200e+01	5.271e+02	3.460e-02	3.468e+02	1.064e+00
1.400e+01	8.554e+02	4.686e-02	2.987e+02	9.017e-01
1.600e+01	1.034e+03	5.149e-02	3.108e+02	8.961e-01
1.800e+01	1.303e+03	6.236e-02	2.887e+02	8.296e-01
2.000e+01	1.660e+03	7.137e-02	2.802e+02	8.527e-01
2.000e+01	4.505e+02	3.360e-02	5.952e+02	-1.834e-01
2.200e+01	1.774e+03	7.724e-02	2.848e+02	8.346e-01
2.200e+01	4.844e+02	4.021e-02	5.472e+02	-3.967e-01
2.400e+01	2.318e+03	8.533e-02	2.813e+02	8.345e-01
2.400e+01	5.763e+02	5.092e-02	4.713e+02	-3.022e-01
2.600e+01	2.219e+03	9.475e-02	2.744e+02	8.605e-01
2.600e+01	1.766e+03	4.904e-01	5.301e+01	-8.479e-03
2.600e+01	2.637e+02	3.352e-02	7.757e+02	1.002e+00
2.800e+01	2.778e+03	1.014e-01	2.760e+02	8.024e-01
2.800e+01	1.703e+03	4.277e-01	6.546e+01	-2.712e-03
2.800e+01	3.393e+02	4.089e-02	6.848e+02	1.091e+00
2.800e+01	1.782e+03	5.000e-01	5.600e+01	1.098e-03
3.000e+01	3.211e+03	1.076e-01	2.789e+02	7.411e-01
3.000e+01	1.824e+03	4.524e-01	6.631e+01	-4.199e-03
3.000e+01	1.805e+03	5.823e-01	5.152e+01	2.393e-02
3.200e+01	3.871e+03	1.148e-01	2.788e+02	6.714e-01
3.200e+01	1.696e+03	4.693e-01	6.818e+01	2.304e-02
3.200e+01	1.108e+03	1.462e-01	2.189e+02	4.236e-01
3.200e+01	1.613e+03	5.358e-01	5.973e+01	7.971e-02
3.400e+01	5.308e+03	1.213e-01	2.803e+02	6.400e-01
3.400e+01	1.017e+03	3.873e-02	8.779e+02	-6.877e-02
3.400e+01	1.892e+03	4.163e-01	8.167e+01	-4.977e-02
3.400e+01	2.137e+03	6.530e-01	5.207e+01	-1.285e-02
3.600e+01	4.882e+03	1.308e-01	2.753e+02	6.194e-01
3.600e+01	1.196e+03	5.417e-02	6.646e+02	-1.098e-01
3.600e+01	1.703e+03	4.083e-01	8.816e+01	-2.289e-02
3.600e+01	2.537e+03	7.261e-01	4.958e+01	-7.364e-02
3.600e+01	1.366e+03	3.563e-01	1.010e+02	-1.001e-01
3.800e+01	5.840e+03	1.383e-01	2.749e+02	6.171e-01
3.800e+01	3.542e+03	7.378e-01	5.151e+01	-5.509e-02
3.800e+01	1.074e+03	5.405e-02	7.031e+02	1.734e-02
3.800e+01	2.013e+03	4.155e-01	9.146e+01	-2.014e-02
3.800e+01	1.628e+03	3.601e-01	1.055e+02	-9.503e-02
4.000e+01	7.175e+03	1.436e-01	2.786e+02	6.180e-01
4.000e+01	4.148e+03	7.484e-01	5.345e+01	-5.070e-02
4.000e+01	2.612e+03	4.277e-01	9.352e+01	-5.369e-02
4.000e+01	7.672e+02	7.757e-02	5.157e+02	-6.272e-01
4.000e+01	1.870e+03	3.747e-01	1.068e+02	-1.214e-01
4.200e+01	8.565e+03	1.521e-01	2.761e+02	5.828e-01
4.200e+01	1.556e+03	8.393e-02	5.004e+02	-4.694e-01
4.200e+01	4.933e+03	7.549e-01	5.563e+01	-4.508e-02
4.200e+01	3.161e+03	4.333e-01	9.694e+01	-2.545e-02
4.200e+01	2.424e+03	3.793e-01	1.107e+02	-9.108e-02
4.400e+01	8.390e+03	1.606e-01	2.739e+02	5.739e-01
4.400e+01	2.254e+03	8.870e-02	4.960e+02	-3.377e-01
4.400e+01	5.303e+03	7.657e-01	5.746e+01	-6.032e-02
4.400e+01	2.967e+03	4.482e-01	9.817e+01	-2.536e-02
4.400e+01	2.389e+03	3.928e-01	1.120e+02	-8.861e-02
4.600e+01	8.243e+03	1.676e-01	2.745e+02	5.417e-01
4.600e+01	2.521e+03	9.757e-02	4.714e+02	-1.812e-01
4.600e+01	4.548e+03	7.674e-01	5.994e+01	-9.882e-02
4.600e+01	1.277e+03	5.321e-02	8.646e+02	2.367e-01
4.600e+01	2.394e+03	4.432e-01	1.038e+02	-7.488e-03
4.800e+01	8.977e+03	1.761e-01	2.726e+02	5.784e-01
4.800e+01	1.979e+03	9.871e-02	4.863e+02	-6.180e-01
4.800e+01	6.897e+03	7.828e-01	6.132e+01	-9.092e-02
4.800e+01	3.879e+03	4.065e-01	1.181e+02	-6.422e-02
4.800e+01	1.156e+03	5.010e-02	9.580e+02	1.745e-01
5.000e+01	7.352e+03	1.845e-01	2.710e+02	5.976e-01
5.000e+01	2.302e+03	1.056e-01	4.733e+02	-5.886e-01
5.000e+01	6.285e+03	7.891e-01	6.336e+01	-8.656e-02
5.000e+01	3.438e+03	4.130e-01	1.211e+02	-9.888e-02
5.000e+01	4.082e+03	7.271e-01	6.877e+01	-2.625e-02
5.200e+01	9.460e+03	1.941e-01	2.680e+02	5.542e-01
5.200e+01	2.670e+03	1.091e-01	4.768e+02	-6.600e-01
5.200e+01	7.736e+03	8.827e-01	5.891e+01	-1.193e-01
5.200e+01	4.686e+03	5.128e-01	1.014e+02	-1.550e-02
5.200e+01	2.922e+03	2.229e-01	2.333e+02	3.722e-01
5.400e+01	8.855e+03	2.029e-01	2.662e+02	5.009e-01
5.400e+01	3.680e+03	1.165e-01	4.637e+02	-5.386e-01
5.400e+01	2.844e+03	8.291e-02	6.513e+02	-4.988e-03
5.400e+01	4.935e+03	8.675e-01	6.225e+01	-2.622e-01
5.400e+01	3.309e+03	4.727e-01	1.142e+02	-5.129e-02
5.600e+01	7.238e+03	2.163e-01	2.588e+02	4.525e-01
5.600e+01	4.310e+03	1.143e-01	4.900e+02	-2.925e-01
5.600e+01	9.616e+02	3.483e-02	1.608e+03	-9.605e-02
