# WaveDec output file for Circular Rayleigh waves
# MODEL_CIRCULAR_RAYLEIGH
# Frequency	Amplitude	Wavenumber	Velocity	EllipticityAngle
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]
4.969e+00	6.850e+01	1.970e-03	2.522e+03	3.203e-02
8.696e+00	2.478e+02	2.516e-02	3.456e+02	-9.119e-02
9.938e+00	4.463e+02	8.401e-02	1.183e+02	-3.342e-01
1.118e+01	3.739e+02	3.297e-02	3.391e+02	-1.211e+00
1.242e+01	3.259e+02	4.609e-02	2.695e+02	1.919e-01
1.366e+01	1.273e+03	1.003e-01	1.363e+02	-2.733e-01
1.366e+01	8.450e+02	4.914e-02	2.781e+02	-6.587e-01
1.366e+01	1.295e+03	2.045e-01	6.681e+01	4.166e-01
1.491e+01	5.784e+02	5.278e-02	2.825e+02	-8.767e-01
1.491e+01	6.126e+02	1.000e-01	1.490e+02	-4.748e-01
1.615e+01	6.699e+02	5.570e-02	2.899e+02	-6.624e-01
1.739e+01	9.167e+02	5.904e-02	2.946e+02	-8.532e-01
1.863e+01	8.716e+02	6.425e-02	2.900e+02	-7.077e-01
1.988e+01	1.035e+03	7.068e-02	2.812e+02	-8.287e-01
2.112e+01	1.161e+03	7.400e-02	2.854e+02	-8.037e-01
2.236e+01	1.450e+03	7.808e-02	2.864e+02	-8.950e-01
2.360e+01	1.344e+03	8.236e-02	2.866e+02	-8.108e-01
2.484e+01	1.564e+03	8.922e-02	2.785e+02	-9.220e-01
2.609e+01	1.590e+03	9.330e-02	2.796e+02	-9.283e-01
2.733e+01	1.851e+03	9.674e-02	2.825e+02	-9.137e-01
2.857e+01	1.729e+03	1.014e-01	2.818e+02	-9.144e-01
2.981e+01	1.931e+03	1.058e-01	2.817e+02	-8.584e-01
3.106e+01	1.788e+03	1.098e-01	2.830e+02	-7.578e-01
3.230e+01	1.978e+03	1.137e-01	2.841e+02	-7.933e-01
3.354e+01	2.359e+03	1.189e-01	2.820e+02	-9.154e-01
3.354e+01	6.039e+02	5.765e-02	5.818e+02	1.399e+00
3.478e+01	2.324e+03	1.234e-01	2.819e+02	-9.331e-01
3.478e+01	5.534e+02	5.840e-02	5.955e+02	1.209e+00
3.602e+01	2.325e+03	1.273e-01	2.830e+02	-9.067e-01
3.602e+01	6.021e+02	5.883e-02	6.124e+02	1.015e+00
3.727e+01	2.283e+03	1.307e-01	2.852e+02	-9.106e-01
3.727e+01	7.943e+02	6.182e-02	6.028e+02	1.156e+00
3.851e+01	2.742e+03	1.351e-01	2.850e+02	-9.495e-01
3.851e+01	9.044e+02	6.686e-02	5.760e+02	1.279e+00
3.975e+01	3.339e+03	1.411e-01	2.818e+02	-1.017e+00
3.975e+01	9.637e+02	7.108e-02	5.592e+02	1.084e+00
3.975e+01	6.309e+02	8.981e-02	4.426e+02	-7.139e-01
4.099e+01	3.956e+03	1.474e-01	2.781e+02	-1.035e+00
4.099e+01	1.360e+03	8.090e-02	5.067e+02	9.273e-01
4.099e+01	1.093e+03	9.398e-02	4.362e+02	-6.379e-01
4.099e+01	3.571e+02	2.718e-02	1.508e+03	-6.917e-01
4.099e+01	2.358e+03	2.418e-01	1.695e+02	1.381e+00
4.224e+01	3.717e+03	1.517e-01	2.785e+02	-1.092e+00
4.224e+01	1.002e+03	1.143e-01	3.695e+02	-7.162e-01
4.224e+01	6.584e+02	8.921e-02	4.734e+02	5.491e-01
4.224e+01	2.639e+02	9.335e-03	4.524e+03	-1.122e+00
4.348e+01	3.741e+03	1.530e-01	2.843e+02	-1.127e+00
4.348e+01	8.024e+02	1.027e-01	4.232e+02	-3.376e-01
4.348e+01	9.512e+02	1.815e-01	2.395e+02	1.463e-02
4.348e+01	4.633e+02	3.602e-02	1.207e+03	-5.790e-01
4.472e+01	4.092e+03	1.554e-01	2.878e+02	-1.121e+00
4.472e+01	8.708e+02	8.960e-02	4.991e+02	6.804e-01
4.472e+01	1.407e+03	1.223e-01	3.656e+02	-1.038e+00
4.472e+01	5.008e+02	1.721e-02	2.598e+03	-9.525e-01
4.472e+01	8.794e+02	1.886e-01	2.371e+02	-6.651e-01
4.596e+01	3.856e+03	1.595e-01	2.882e+02	-1.193e+00
4.596e+01	1.632e+03	1.234e-01	3.723e+02	-1.024e+00
4.596e+01	5.123e+02	1.975e-02	2.327e+03	-9.155e-01
4.596e+01	6.889e+02	8.958e-02	5.131e+02	7.993e-01
4.720e+01	3.879e+03	1.640e-01	2.878e+02	-1.188e+00
4.720e+01	1.808e+03	1.258e-01	3.752e+02	-9.872e-01
4.720e+01	6.842e+02	2.817e-02	1.676e+03	-9.197e-01
4.720e+01	6.781e+02	8.079e-02	5.843e+02	4.494e-02
4.720e+01	9.604e+02	1.973e-01	2.393e+02	-4.562e-01
4.845e+01	3.409e+03	1.677e-01	2.889e+02	-1.199e+00
4.845e+01	1.921e+03	1.232e-01	3.933e+02	-9.115e-01
4.845e+01	6.630e+02	3.199e-02	1.514e+03	-8.759e-01
4.845e+01	7.081e+02	7.935e-02	6.106e+02	-3.045e-01
4.845e+01	1.181e+03	1.960e-01	2.472e+02	-7.780e-01
4.969e+01	3.280e+03	1.704e-01	2.916e+02	-1.302e+00
4.969e+01	2.375e+03	1.231e-01	4.037e+02	-9.124e-01
4.969e+01	6.593e+02	3.259e-02	1.525e+03	-6.373e-01
4.969e+01	5.640e+02	7.691e-02	6.460e+02	-3.609e-01
5.093e+01	2.456e+03	1.727e-01	2.949e+02	-1.295e+00
5.093e+01	2.543e+03	1.273e-01	4.001e+02	-9.180e-01
5.093e+01	8.602e+02	3.799e-02	1.341e+03	-8.307e-01
5.093e+01	9.613e+02	9.529e-02	5.345e+02	1.319e+00
5.093e+01	5.794e+02	7.942e-02	6.413e+02	-4.768e-01
5.217e+01	1.056e+03	4.348e-02	1.200e+03	-7.883e-01
5.217e+01	2.715e+03	1.299e-01	4.015e+02	-9.794e-01
5.217e+01	2.212e+03	1.742e-01	2.995e+02	-1.247e+00
5.217e+01	1.038e+03	1.023e-01	5.103e+02	1.343e+00
5.217e+01	6.671e+02	8.236e-02	6.335e+02	-5.891e-01
5.342e+01	2.773e+03	1.321e-01	4.042e+02	-9.840e-01
5.342e+01	1.241e+03	4.797e-02	1.113e+03	-7.383e-01
5.342e+01	2.197e+03	1.760e-01	3.035e+02	-1.215e+00
5.342e+01	1.087e+03	1.076e-01	4.963e+02	1.270e+00
5.342e+01	7.217e+02	8.342e-02	6.403e+02	-8.356e-01
5.466e+01	2.318e+03	1.319e-01	4.144e+02	-1.103e+00
5.466e+01	1.133e+03	5.292e-02	1.033e+03	-6.739e-01
5.466e+01	1.703e+03	1.760e-01	3.105e+02	-1.145e+00
5.466e+01	2.266e+02	3.357e-03	1.628e+04	-1.400e+00
5.590e+01	2.483e+03	1.326e-01	4.215e+02	-1.248e+00
5.590e+01	1.067e+03	5.661e-02	9.875e+02	-5.737e-01
5.590e+01	2.586e+00	9.357e-14	5.974e+14	-3.142e+00
5.590e+01	8.821e+02	1.732e-01	3.228e+02	-9.073e-01
5.714e+01	2.236e+03	1.412e-01	4.046e+02	-1.156e+00
5.714e+01	9.261e+02	5.671e-02	1.008e+03	-8.050e-01
5.714e+01	5.506e+02	8.046e-03	7.102e+03	-1.484e+00
5.714e+01	7.646e+02	1.044e-01	5.476e+02	-1.331e+00
5.839e+01	2.325e+03	1.462e-01	3.992e+02	-1.218e+00
5.839e+01	7.273e+02	1.500e-02	3.894e+03	-1.479e+00
5.839e+01	6.971e+02	6.259e-02	9.328e+02	-5.802e-01
5.839e+01	9.023e+02	1.101e-01	5.301e+02	-1.435e+00
5.963e+01	6.720e+02	2.069e-02	2.882e+03	-1.498e+00
5.963e+01	2.324e+03	1.472e-01	4.051e+02	-1.277e+00
5.963e+01	1.334e+03	1.148e-01	5.194e+02	-1.315e+00
5.963e+01	4.112e+02	7.269e-02	8.204e+02	-3.017e-01
6.211e+00	2.020e+02	8.330e-03	7.456e+02	3.944e-01
8.696e+00	2.237e+02	2.136e-02	4.070e+02	-4.087e-01
9.938e+00	4.123e+02	3.032e-02	3.278e+02	-4.967e-01
1.242e+01	4.575e+02	3.768e-02	3.297e+02	-8.227e-01
1.366e+01	5.642e+02	4.338e-02	3.150e+02	-8.931e-01
1.491e+01	5.919e+02	5.179e-02	2.879e+02	-7.790e-01
1.615e+01	7.602e+02	5.484e-02	2.945e+02	-7.862e-01
1.739e+01	6.873e+02	6.059e-02	2.870e+02	-6.811e-01
1.863e+01	8.560e+02	6.486e-02	2.873e+02	-7.252e-01
1.988e+01	1.096e+03	6.975e-02	2.850e+02	-8.308e-01
2.112e+01	1.087e+03	7.416e-02	2.848e+02	-8.125e-01
2.236e+01	1.258e+03	7.829e-02	2.856e+02	-8.870e-01
2.360e+01	1.414e+03	8.220e-02	2.871e+02	-8.104e-01
2.484e+01	1.435e+03	8.834e-02	2.813e+02	-9.201e-01
2.609e+01	1.504e+03	9.195e-02	2.837e+02	-9.448e-01
2.733e+01	1.752e+03	9.650e-02	2.832e+02	-8.866e-01
2.857e+01	1.735e+03	1.003e-01	2.849e+02	-8.499e-01
2.981e+01	1.670e+03	1.052e-01	2.834e+02	-8.450e-01
3.106e+01	1.858e+03	1.098e-01	2.828e+02	-7.805e-01
3.230e+01	2.058e+03	1.141e-01	2.832e+02	-8.097e-01
3.354e+01	2.114e+03	1.188e-01	2.824e+02	-8.503e-01
3.478e+01	2.402e+03	1.235e-01	2.817e+02	-9.438e-01
3.478e+01	6.273e+02	5.812e-02	5.984e+02	1.257e+00
3.602e+01	2.368e+03	1.270e-01	2.836e+02	-9.172e-01
3.602e+01	7.358e+02	6.054e-02	5.951e+02	1.172e+00
3.727e+01	2.341e+03	1.304e-01	2.858e+02	-9.084e-01
3.727e+01	9.162e+02	6.427e-02	5.799e+02	1.270e+00
3.851e+01	2.829e+03	1.352e-01	2.848e+02	-9.547e-01
3.851e+01	1.041e+03	6.763e-02	5.694e+02	1.359e+00
3.975e+01	3.513e+03	1.410e-01	2.818e+02	-9.999e-01
3.975e+01	1.559e+03	7.347e-02	5.411e+02	1.198e+00
3.975e+01	7.137e+02	8.893e-02	4.470e+02	-6.404e-01
3.975e+01	2.044e+03	2.287e-01	1.738e+02	-1.690e+00
4.099e+01	4.051e+03	1.472e-01	2.785e+02	-1.097e+00
4.099e+01	1.012e+03	7.523e-02	5.449e+02	7.544e-01
4.099e+01	1.030e+03	9.413e-02	4.355e+02	-7.994e-01
4.224e+01	3.499e+03	1.509e-01	2.798e+02	-1.111e+00
4.224e+01	1.103e+03	1.116e-01	3.784e+02	-7.320e-01
4.224e+01	7.166e+02	8.623e-02	4.898e+02	6.104e-01
4.224e+01	1.995e+02	6.826e-03	6.187e+03	-7.254e-01
4.348e+01	3.990e+03	1.514e-01	2.871e+02	-1.159e+00
4.348e+01	8.104e+02	8.491e-02	5.120e+02	4.813e-01
4.348e+01	1.260e+03	1.184e-01	3.673e+02	-8.639e-01
4.348e+01	2.815e+02	7.787e-03	5.583e+03	-6.773e-01
4.472e+01	4.133e+03	1.549e-01	2.886e+02	-1.183e+00
4.472e+01	9.753e+02	8.772e-02	5.098e+02	6.144e-01
4.472e+01	1.485e+03	1.201e-01	3.724e+02	-1.032e+00
4.472e+01	4.330e+02	1.283e-02	3.486e+03	-8.555e-01
4.596e+01	4.035e+03	1.593e-01	2.885e+02	-1.241e+00
4.596e+01	1.834e+03	1.215e-01	3.783e+02	-1.015e+00
4.596e+01	5.400e+02	1.732e-02	2.653e+03	-8.117e-01
4.596e+01	8.316e+02	8.735e-02	5.262e+02	8.858e-01
4.720e+01	4.061e+03	1.633e-01	2.890e+02	-1.264e+00
4.720e+01	2.060e+03	1.235e-01	3.823e+02	-9.976e-01
4.720e+01	6.699e+02	2.386e-02	1.978e+03	-7.972e-01
4.720e+01	6.524e+02	8.343e-02	5.658e+02	4.558e-01
4.845e+01	3.811e+03	1.668e-01	2.904e+02	-1.251e+00
4.845e+01	2.362e+03	1.229e-01	3.942e+02	-9.433e-01
4.845e+01	7.644e+02	3.044e-02	1.592e+03	-8.299e-01
4.845e+01	7.612e+02	8.099e-02	5.982e+02	-2.681e-01
4.845e+01	1.125e+03	1.971e-01	2.458e+02	-6.791e-01
4.969e+01	3.758e+03	1.705e-01	2.915e+02	-1.294e+00
4.969e+01	2.452e+03	1.198e-01	4.147e+02	-9.151e-01
4.969e+01	6.232e+02	3.154e-02	1.576e+03	-4.319e-01
5.093e+01	2.987e+03	1.266e-01	4.024e+02	-9.228e-01
5.093e+01	3.237e+03	1.736e-01	2.933e+02	-1.326e+00
5.093e+01	9.462e+02	3.708e-02	1.373e+03	-7.189e-01
5.093e+01	8.215e+02	8.382e-02	6.077e+02	8.619e-01
5.217e+01	2.883e+03	1.297e-01	4.022e+02	-9.471e-01
5.217e+01	1.316e+03	4.088e-02	1.276e+03	-8.465e-01
5.217e+01	2.674e+03	1.708e-01	3.055e+02	-1.234e+00
5.217e+01	8.894e+02	9.078e-02	5.747e+02	9.126e-01
5.217e+01	1.267e+02	1.796e-03	2.906e+04	1.971e+00
5.342e+01	2.590e+03	1.320e-01	4.048e+02	-9.541e-01
5.342e+01	1.338e+03	4.614e-02	1.158e+03	-7.828e-01
5.342e+01	2.466e+03	1.736e-01	3.077e+02	-1.207e+00
5.342e+01	1.022e+03	1.034e-01	5.168e+02	1.096e+00
5.342e+01	2.236e+02	3.461e-03	1.543e+04	-1.298e+00
5.466e+01	2.557e+03	1.333e-01	4.100e+02	-9.688e-01
5.466e+01	1.187e+03	5.140e-02	1.063e+03	-6.873e-01
5.466e+01	2.054e+03	1.775e-01	3.079e+02	-1.187e+00
5.466e+01	1.021e+03	1.082e-01	5.053e+02	9.982e-01
5.466e+01	2.853e+02	4.612e-03	1.185e+04	-1.361e+00
5.590e+01	2.808e+03	1.334e-01	4.191e+02	-1.100e+00
5.590e+01	1.036e+03	5.624e-02	9.939e+02	-5.873e-01
5.590e+01	1.760e+02	-1.594e-03	-3.507e+04	-1.651e+00
5.590e+01	1.308e+03	1.777e-01	3.145e+02	-9.902e-01
5.590e+01	6.715e+02	1.066e-01	5.242e+02	-1.259e-01
5.714e+01	2.613e+03	1.391e-01	4.108e+02	-1.146e+00
5.714e+01	1.003e+03	5.616e-02	1.018e+03	-7.895e-01
5.714e+01	6.007e+02	6.768e-03	8.443e+03	-1.468e+00
5.714e+01	8.418e+02	1.075e-01	5.314e+02	-7.374e-01
5.839e+01	8.582e+02	1.520e-02	3.842e+03	-1.365e+00
5.839e+01	7.158e+02	6.105e-02	9.564e+02	-6.324e-01
5.839e+01	2.149e+03	1.441e-01	4.053e+02	-1.128e+00
5.839e+01	1.109e+03	1.096e-01	5.328e+02	-1.159e+00
5.839e+01	9.422e+02	1.200e-01	4.867e+02	1.121e+00
5.963e+01	1.162e+03	2.534e-02	2.353e+03	-1.394e+00
5.963e+01	8.051e+02	6.341e-02	9.404e+02	-9.426e-01
5.963e+01	1.669e+03	1.470e-01	4.055e+02	-1.229e+00
5.963e+01	1.305e+03	1.095e-01	5.447e+02	-1.314e+00
7.453e+00	2.843e+02	1.658e-02	4.494e+02	1.081e-01
9.938e+00	8.864e+02	1.717e-01	5.786e+01	-7.635e-01
9.938e+00	2.636e+02	2.881e-02	3.450e+02	4.877e-02
1.118e+01	3.005e+02	3.453e-02	3.238e+02	-5.905e-01
1.242e+01	5.902e+02	3.862e-02	3.217e+02	-8.137e-01
1.366e+01	3.381e+02	5.370e-02	2.544e+02	9.267e-02
1.491e+01	5.777e+02	5.122e-02	2.910e+02	-4.223e-01
1.615e+01	5.600e+02	5.786e-02	2.791e+02	-7.803e-01
1.739e+01	6.836e+02	6.071e-02	2.865e+02	-6.748e-01
1.863e+01	8.993e+02	6.303e-02	2.956e+02	-7.413e-01
1.988e+01	1.085e+03	6.882e-02	2.888e+02	-8.440e-01
2.112e+01	1.015e+03	7.480e-02	2.823e+02	-7.790e-01
2.236e+01	1.355e+03	7.874e-02	2.840e+02	-8.966e-01
2.360e+01	1.300e+03	8.309e-02	2.841e+02	-8.157e-01
2.484e+01	1.277e+03	8.970e-02	2.770e+02	-9.059e-01
2.609e+01	1.665e+03	9.228e-02	2.827e+02	-9.452e-01
2.733e+01	1.644e+03	9.660e-02	2.829e+02	-9.204e-01
2.857e+01	1.699e+03	1.011e-01	2.825e+02	-8.986e-01
2.981e+01	1.785e+03	1.066e-01	2.798e+02	-8.269e-01
3.106e+01	1.903e+03	1.103e-01	2.817e+02	-7.715e-01
3.230e+01	1.828e+03	1.147e-01	2.817e+02	-8.076e-01
3.354e+01	2.310e+03	1.191e-01	2.817e+02	-9.100e-01
3.354e+01	5.502e+02	5.628e-02	5.959e+02	1.354e+00
3.478e+01	2.445e+03	1.242e-01	2.800e+02	-9.373e-01
3.478e+01	5.415e+02	5.895e-02	5.900e+02	1.199e+00
3.602e+01	2.310e+03	1.285e-01	2.804e+02	-9.381e-01
3.602e+01	6.586e+02	5.967e-02	6.037e+02	1.030e+00
3.727e+01	2.399e+03	1.314e-01	2.836e+02	-9.268e-01
3.727e+01	8.377e+02	6.447e-02	5.780e+02	1.134e+00
3.851e+01	2.801e+03	1.360e-01	2.831e+02	-9.983e-01
3.851e+01	8.593e+02	6.729e-02	5.723e+02	1.273e+00
3.975e+01	2.995e+03	1.422e-01	2.796e+02	-1.017e+00
3.975e+01	8.857e+02	7.300e-02	5.445e+02	1.231e+00
4.099e+01	3.787e+03	1.474e-01	2.781e+02	-1.080e+00
4.099e+01	8.130e+02	7.582e-02	5.407e+02	4.392e-01
4.099e+01	9.368e+02	9.310e-02	4.403e+02	-9.361e-01
4.224e+01	3.693e+03	1.516e-01	2.785e+02	-1.104e+00
4.224e+01	8.902e+02	1.093e-01	3.863e+02	-8.202e-01
4.224e+01	5.994e+02	8.743e-02	4.831e+02	4.166e-01
4.348e+01	3.414e+03	1.533e-01	2.835e+02	-1.174e+00
4.348e+01	7.535e+02	9.288e-02	4.681e+02	-1.299e-01
4.348e+01	9.496e+02	1.801e-01	2.414e+02	-9.323e-02
4.348e+01	3.929e+02	3.797e-02	1.145e+03	-2.886e-01
4.472e+01	3.760e+03	1.544e-01	2.896e+02	-1.193e+00
4.472e+01	7.932e+02	8.778e-02	5.095e+02	4.203e-01
4.472e+01	1.358e+03	1.221e-01	3.662e+02	-1.090e+00
4.472e+01	3.389e+02	1.036e-02	4.316e+03	-8.714e-01
4.596e+01	3.796e+03	1.595e-01	2.882e+02	-1.254e+00
4.596e+01	1.641e+03	1.211e-01	3.797e+02	-9.925e-01
4.596e+01	4.921e+02	1.589e-02	2.892e+03	-8.166e-01
4.596e+01	5.721e+02	8.123e-02	5.659e+02	6.528e-01
4.720e+01	3.550e+03	1.640e-01	2.878e+02	-1.280e+00
