# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
2.000e+00	1.998e-02	1.117e-01	1.790e+01	1.001e+02
2.225e+00	1.998e-02	1.117e-01	1.991e+01	1.114e+02
2.475e+00	1.998e-02	1.117e-01	2.215e+01	1.239e+02
2.700e+00	1.998e-02	1.117e-01	2.416e+01	1.351e+02
2.925e+00	1.998e-02	1.117e-01	2.618e+01	1.464e+02
3.150e+00	1.998e-02	1.117e-01	2.819e+01	1.577e+02
3.400e+00	1.998e-02	1.117e-01	3.043e+01	1.702e+02
3.625e+00	1.998e-02	1.117e-01	3.244e+01	1.814e+02
3.850e+00	1.998e-02	1.117e-01	3.446e+01	1.927e+02
4.099e+00	1.998e-02	1.117e-01	3.669e+01	2.052e+02
4.324e+00	1.998e-02	1.117e-01	3.871e+01	2.165e+02
4.549e+00	1.998e-02	1.117e-01	4.072e+01	2.277e+02
4.799e+00	1.998e-02	1.117e-01	4.296e+01	2.402e+02
5.024e+00	1.998e-02	1.117e-01	4.497e+01	2.515e+02
5.249e+00	1.998e-02	1.117e-01	4.698e+01	2.628e+02
5.474e+00	1.998e-02	1.117e-01	4.900e+01	2.740e+02
5.724e+00	1.998e-02	1.117e-01	5.124e+01	2.865e+02
5.949e+00	1.998e-02	1.117e-01	5.325e+01	2.978e+02
6.174e+00	1.998e-02	1.117e-01	5.526e+01	3.091e+02
6.424e+00	1.998e-02	1.117e-01	5.750e+01	3.216e+02
6.649e+00	1.998e-02	1.117e-01	5.951e+01	3.328e+02
6.874e+00	1.998e-02	1.117e-01	6.153e+01	3.441e+02
7.099e+00	1.998e-02	1.117e-01	6.354e+01	3.553e+02
7.349e+00	1.998e-02	1.117e-01	6.578e+01	3.679e+02
7.574e+00	1.998e-02	1.117e-01	6.779e+01	3.791e+02
7.799e+00	1.998e-02	1.117e-01	6.981e+01	3.904e+02
8.049e+00	1.998e-02	1.117e-01	7.204e+01	4.029e+02
8.274e+00	1.998e-02	1.117e-01	7.406e+01	4.142e+02
8.499e+00	1.998e-02	1.117e-01	7.607e+01	4.254e+02
8.749e+00	1.998e-02	1.117e-01	7.831e+01	4.379e+02
8.974e+00	1.998e-02	1.117e-01	8.032e+01	4.492e+02
9.199e+00	1.998e-02	1.117e-01	8.233e+01	4.604e+02
9.424e+00	1.998e-02	1.117e-01	8.435e+01	4.717e+02
9.674e+00	1.998e-02	1.117e-01	8.659e+01	4.842e+02
9.899e+00	1.998e-02	1.117e-01	8.860e+01	4.955e+02
1.012e+01	1.998e-02	1.117e-01	9.061e+01	5.067e+02
1.037e+01	1.998e-02	1.117e-01	9.285e+01	5.193e+02
1.060e+01	1.998e-02	1.117e-01	9.486e+01	5.305e+02
1.082e+01	1.998e-02	1.117e-01	9.688e+01	5.418e+02
1.105e+01	1.998e-02	1.117e-01	9.889e+01	5.530e+02
1.130e+01	1.998e-02	1.117e-01	1.011e+02	5.656e+02
1.152e+01	1.998e-02	1.117e-01	1.031e+02	5.768e+02
1.175e+01	1.998e-02	1.117e-01	1.052e+02	5.881e+02
1.200e+01	1.998e-02	1.117e-01	1.074e+02	6.006e+02
1.222e+01	1.998e-02	1.117e-01	1.094e+02	6.118e+02
1.245e+01	1.998e-02	1.117e-01	1.114e+02	6.231e+02
1.270e+01	1.998e-02	1.117e-01	1.137e+02	6.356e+02
1.292e+01	1.998e-02	1.117e-01	1.157e+02	6.469e+02
1.315e+01	1.998e-02	1.117e-01	1.177e+02	6.581e+02
1.337e+01	1.998e-02	1.117e-01	1.197e+02	6.694e+02
1.362e+01	1.998e-02	1.117e-01	1.219e+02	6.819e+02
1.385e+01	1.998e-02	1.117e-01	1.239e+02	6.932e+02
1.407e+01	1.998e-02	1.117e-01	1.260e+02	7.044e+02
1.432e+01	1.998e-02	1.117e-01	1.282e+02	7.169e+02
1.455e+01	1.998e-02	1.117e-01	1.302e+02	7.282e+02
1.477e+01	1.998e-02	1.117e-01	1.322e+02	7.395e+02
1.500e+01	1.998e-02	1.117e-01	1.342e+02	7.507e+02
1.525e+01	1.998e-02	1.117e-01	1.365e+02	7.632e+02
1.547e+01	1.998e-02	1.117e-01	1.385e+02	7.745e+02
1.570e+01	1.998e-02	1.117e-01	1.405e+02	7.858e+02
1.595e+01	1.998e-02	1.117e-01	1.427e+02	7.983e+02
1.617e+01	1.998e-02	1.117e-01	1.448e+02	8.095e+02
1.640e+01	1.998e-02	1.117e-01	1.468e+02	8.208e+02
1.665e+01	1.998e-02	1.117e-01	1.490e+02	8.333e+02
1.687e+01	1.998e-02	1.117e-01	1.510e+02	8.446e+02
1.710e+01	1.998e-02	1.117e-01	1.530e+02	8.558e+02
1.732e+01	1.998e-02	1.117e-01	1.550e+02	8.671e+02
1.757e+01	1.998e-02	1.117e-01	1.573e+02	8.796e+02
1.780e+01	1.998e-02	1.117e-01	1.593e+02	8.909e+02
1.802e+01	1.998e-02	1.117e-01	1.613e+02	9.021e+02
1.827e+01	1.998e-02	1.117e-01	1.636e+02	9.146e+02
1.850e+01	1.998e-02	1.117e-01	1.656e+02	9.259e+02
1.872e+01	1.998e-02	1.117e-01	1.676e+02	9.372e+02
1.895e+01	1.998e-02	1.117e-01	1.696e+02	9.484e+02
1.920e+01	1.998e-02	1.117e-01	1.718e+02	9.609e+02
1.942e+01	1.998e-02	1.117e-01	1.738e+02	9.722e+02
1.965e+01	1.998e-02	1.117e-01	1.759e+02	9.835e+02
1.990e+01	1.998e-02	1.117e-01	1.781e+02	9.960e+02
2.012e+01	1.998e-02	1.117e-01	1.801e+02	1.007e+03
2.035e+01	1.998e-02	1.117e-01	1.821e+02	1.018e+03
2.060e+01	1.998e-02	1.117e-01	1.844e+02	1.031e+03
2.082e+01	1.998e-02	1.117e-01	1.864e+02	1.042e+03
2.105e+01	1.998e-02	1.117e-01	1.884e+02	1.054e+03
2.127e+01	1.998e-02	1.117e-01	1.904e+02	1.065e+03
2.152e+01	1.998e-02	1.117e-01	1.926e+02	1.077e+03
2.175e+01	1.998e-02	1.117e-01	1.946e+02	1.089e+03
2.197e+01	1.998e-02	1.117e-01	1.967e+02	1.100e+03
2.222e+01	1.998e-02	1.117e-01	1.989e+02	1.112e+03
2.245e+01	1.998e-02	1.117e-01	2.009e+02	1.124e+03
2.267e+01	1.998e-02	1.117e-01	2.029e+02	1.135e+03
2.290e+01	1.998e-02	1.117e-01	2.049e+02	1.146e+03
2.315e+01	1.998e-02	1.117e-01	2.072e+02	1.159e+03
2.337e+01	1.998e-02	1.117e-01	2.092e+02	1.170e+03
2.360e+01	1.998e-02	1.117e-01	2.112e+02	1.181e+03
2.385e+01	1.998e-02	1.117e-01	2.134e+02	1.194e+03
2.407e+01	1.998e-02	1.117e-01	2.155e+02	1.205e+03
2.430e+01	1.998e-02	1.117e-01	2.175e+02	1.216e+03
2.455e+01	1.998e-02	1.117e-01	2.197e+02	1.229e+03
2.477e+01	1.998e-02	1.117e-01	2.217e+02	1.240e+03
2.500e+01	1.998e-02	1.117e-01	2.237e+02	1.251e+03
