# WaveDec output file with array layout
# Easting	Northing	Elevation
# [m]	[m]	[m]
30.000	45.000	10.000
30.000	47.000	10.000
30.000	49.000	10.000
30.000	51.000	10.000
30.000	53.000	10.000
30.000	55.000	10.000
30.000	57.000	10.000
30.000	59.000	10.000
30.000	61.000	10.000
30.000	63.000	10.000
30.000	65.000	10.000
30.000	67.000	10.000
30.000	69.000	10.000
30.000	71.000	10.000
30.000	73.000	10.000
30.000	75.000	10.000
30.000	77.000	10.000
30.000	79.000	10.000
30.000	81.000	10.000
30.000	83.000	10.000
30.000	85.000	10.000
30.000	87.000	10.000
30.000	89.000	10.000
30.000	91.000	10.000
