# WaveDec output file with array resolution limits
# Frequency	Kmin	Kmax	Vmin	Vmax
# [Hz]	[1/m]	[1/m]	[m/s]	[m/s]
1.817e+00	1.111e-02	4.003e-01	4.541e+00	1.635e+02
3.635e+00	1.111e-02	4.003e-01	9.081e+00	3.271e+02
5.452e+00	1.111e-02	4.003e-01	1.362e+01	4.906e+02
7.270e+00	1.111e-02	4.003e-01	1.816e+01	6.542e+02
9.087e+00	1.111e-02	4.003e-01	2.270e+01	8.177e+02
1.090e+01	1.111e-02	4.003e-01	2.724e+01	9.813e+02
1.272e+01	1.111e-02	4.003e-01	3.178e+01	1.145e+03
1.454e+01	1.111e-02	4.003e-01	3.633e+01	1.308e+03
1.636e+01	1.111e-02	4.003e-01	4.087e+01	1.472e+03
1.817e+01	1.111e-02	4.003e-01	4.541e+01	1.635e+03
1.999e+01	1.111e-02	4.003e-01	4.995e+01	1.799e+03
2.181e+01	1.111e-02	4.003e-01	5.449e+01	1.963e+03
2.363e+01	1.111e-02	4.003e-01	5.903e+01	2.126e+03
2.544e+01	1.111e-02	4.003e-01	6.357e+01	2.290e+03
2.726e+01	1.111e-02	4.003e-01	6.811e+01	2.453e+03
2.908e+01	1.111e-02	4.003e-01	7.265e+01	2.617e+03
3.090e+01	1.111e-02	4.003e-01	7.719e+01	2.780e+03
3.271e+01	1.111e-02	4.003e-01	8.173e+01	2.944e+03
3.453e+01	1.111e-02	4.003e-01	8.627e+01	3.107e+03
3.635e+01	1.111e-02	4.003e-01	9.081e+01	3.271e+03
3.817e+01	1.111e-02	4.003e-01	9.535e+01	3.434e+03
3.998e+01	1.111e-02	4.003e-01	9.989e+01	3.598e+03
4.180e+01	1.111e-02	4.003e-01	1.044e+02	3.762e+03
4.362e+01	1.111e-02	4.003e-01	1.090e+02	3.925e+03
4.544e+01	1.111e-02	4.003e-01	1.135e+02	4.089e+03
4.725e+01	1.111e-02	4.003e-01	1.181e+02	4.252e+03
4.907e+01	1.111e-02	4.003e-01	1.226e+02	4.416e+03
5.089e+01	1.111e-02	4.003e-01	1.271e+02	4.579e+03
5.271e+01	1.111e-02	4.003e-01	1.317e+02	4.743e+03
5.452e+01	1.111e-02	4.003e-01	1.362e+02	4.906e+03
5.634e+01	1.111e-02	4.003e-01	1.408e+02	5.070e+03
5.816e+01	1.111e-02	4.003e-01	1.453e+02	5.233e+03
5.998e+01	1.111e-02	4.003e-01	1.498e+02	5.397e+03
