# WaveDecActive output file for Circular Dissipative Rayleigh waves
# MODEL_CIRCULAR_DISSIPATIVE_RAYLEIGH
# Frequency	Amplitude	Wavenumber_r	Velocity	EllipticityAngle	Wavenumber_i	Alpha
# [Hz]	[a.u.]	[1/m]	[m/s]	[rad]	[1/m]	[rad/m]
7.270e+00	1.174e-02	1.601e-02	4.540e+02	-9.487e-01	5.742e-04	-3.608e-03
9.087e+00	3.638e-02	2.103e-02	4.321e+02	-8.912e-01	2.182e-04	-1.371e-03
1.090e+01	9.443e-02	2.669e-02	4.085e+02	-8.183e-01	-7.184e-04	4.514e-03
1.090e+01	6.929e-03	1.136e-02	9.596e+02	6.579e-01	3.546e-04	-2.228e-03
1.272e+01	1.826e-01	3.320e-02	3.832e+02	-7.181e-01	-1.319e-03	8.288e-03
1.272e+01	1.213e-02	1.967e-02	6.467e+02	7.701e-01	2.427e-03	-1.525e-02
1.272e+01	5.971e-02	9.336e-02	1.363e+02	-1.254e+00	-4.879e-03	3.065e-02
1.272e+01	1.116e-01	2.993e-01	4.250e+01	-1.308e+00	-6.398e-03	4.020e-02
1.272e+01	8.861e-02	2.135e-01	5.959e+01	-1.487e+00	-5.277e-03	3.315e-02
1.454e+01	2.823e-01	3.951e-02	3.680e+02	-6.689e-01	-1.359e-03	8.540e-03
1.454e+01	2.613e-02	2.520e-02	5.769e+02	6.721e-01	1.974e-03	-1.240e-02
1.454e+01	3.174e-02	9.769e-02	1.488e+02	-1.200e+00	-1.069e-03	6.719e-03
1.454e+01	1.082e-02	1.593e-01	9.127e+01	-1.276e+00	2.026e-03	-1.273e-02
1.636e+01	3.670e-01	4.569e-02	3.580e+02	-6.259e-01	-9.884e-04	6.210e-03
1.636e+01	6.094e-02	2.931e-02	5.580e+02	6.778e-01	2.368e-04	-1.488e-03
1.636e+01	3.399e-02	1.031e-01	1.586e+02	-1.142e+00	2.907e-04	-1.827e-03
1.636e+01	2.000e-02	1.686e-01	9.702e+01	-1.314e+00	1.169e-03	-7.344e-03
1.636e+01	5.613e-03	1.362e-01	1.201e+02	-1.276e+00	4.887e-03	-3.071e-02
1.817e+01	4.996e-01	5.127e-02	3.545e+02	-6.078e-01	-1.158e-03	7.278e-03
1.817e+01	1.164e-01	3.366e-02	5.399e+02	6.004e-01	-1.453e-03	9.132e-03
1.817e+01	6.266e-02	1.068e-01	1.703e+02	-1.331e+00	-1.326e-03	8.332e-03
1.817e+01	1.181e-02	2.651e-02	6.856e+02	-4.772e-01	3.158e-03	-1.984e-02
1.817e+01	4.038e-02	1.735e-01	1.048e+02	-1.312e+00	-8.746e-04	5.495e-03
1.999e+01	6.679e-01	5.730e-02	3.489e+02	-5.768e-01	-1.388e-03	8.722e-03
1.999e+01	2.066e-01	3.785e-02	5.282e+02	6.092e-01	-3.384e-03	2.126e-02
1.999e+01	3.449e-02	3.278e-02	6.099e+02	-4.754e-01	1.293e-03	-8.122e-03
1.999e+01	1.230e-01	1.117e-01	1.790e+02	-1.325e+00	-3.763e-03	2.364e-02
1.999e+01	3.424e-03	1.467e-03	1.362e+04	1.445e+00	2.219e-03	-1.394e-02
2.181e+01	8.524e-01	6.318e-02	3.452e+02	-5.425e-01	-1.632e-03	1.025e-02
2.181e+01	3.434e-01	3.892e-02	5.604e+02	8.242e-01	-6.614e-03	4.156e-02
2.181e+01	1.035e-01	3.812e-02	5.721e+02	-3.194e-01	-9.870e-04	6.202e-03
2.181e+01	1.829e-01	1.173e-01	1.860e+02	-1.257e+00	-4.686e-03	2.944e-02
2.181e+01	1.796e-01	6.508e-02	3.351e+02	5.241e-01	-7.364e-03	4.627e-02
2.363e+01	1.028e+00	6.968e-02	3.391e+02	-5.240e-01	-1.963e-03	1.234e-02
2.363e+01	2.737e-01	3.721e-02	6.349e+02	1.329e+00	-6.207e-03	3.900e-02
2.363e+01	2.752e-01	4.634e-02	5.098e+02	-5.107e-02	-3.850e-03	2.419e-02
2.363e+01	1.967e-01	1.250e-01	1.890e+02	-1.186e+00	-4.924e-03	3.094e-02
2.363e+01	5.785e-01	7.906e-02	2.989e+02	6.481e-01	-1.316e-02	8.268e-02
2.544e+01	1.163e+00	7.604e-02	3.346e+02	-5.272e-01	-2.267e-03	1.425e-02
2.544e+01	3.308e-01	3.905e-02	6.516e+02	1.543e+00	-6.705e-03	4.213e-02
2.544e+01	3.875e-01	5.478e-02	4.645e+02	3.718e-02	-5.244e-03	3.295e-02
2.544e+01	1.879e-01	1.305e-01	1.950e+02	-1.341e+00	-5.388e-03	3.385e-02
2.544e+01	2.703e+00	-1.028e-01	-2.476e+02	-1.434e+00	-2.344e-02	1.473e-01
2.726e+01	1.246e+00	8.264e-02	3.299e+02	-5.184e-01	-2.580e-03	1.621e-02
2.726e+01	2.941e-01	4.084e-02	6.675e+02	1.513e+00	-6.284e-03	3.948e-02
2.726e+01	3.696e-01	6.071e-02	4.491e+02	-4.659e-03	-5.110e-03	3.211e-02
2.726e+01	1.430e-01	1.370e-01	1.990e+02	-1.291e+00	-4.428e-03	2.782e-02
2.726e+01	8.754e+00	-1.007e-01	-2.706e+02	-1.326e+00	-3.299e-02	2.073e-01
2.908e+01	1.206e+00	8.965e-02	3.244e+02	-5.055e-01	-2.637e-03	1.657e-02
2.908e+01	3.260e-01	4.529e-02	6.420e+02	1.322e+00	-7.826e-03	4.917e-02
2.908e+01	2.900e-01	6.603e-02	4.404e+02	-6.686e-02	-4.033e-03	2.534e-02
2.908e+01	4.382e-01	5.209e-03	5.583e+03	-1.422e+00	-1.724e-02	1.083e-01
2.908e+01	4.490e-01	1.543e-01	1.885e+02	-9.968e-01	-9.897e-03	6.219e-02
3.090e+01	1.106e+00	9.636e-02	3.206e+02	-4.984e-01	-2.599e-03	1.633e-02
3.090e+01	2.520e-01	7.103e-02	4.350e+02	-7.273e-02	-4.015e-03	2.522e-02
3.090e+01	3.300e-01	5.302e-02	5.828e+02	1.229e+00	-1.027e-02	6.456e-02
3.090e+01	1.287e-01	1.715e-02	1.801e+03	-1.415e+00	-9.716e-03	6.105e-02
3.090e+01	5.626e-01	1.640e-01	1.884e+02	-1.042e+00	-1.211e-02	7.608e-02
3.271e+01	9.517e-01	1.026e-01	3.189e+02	-4.985e-01	-2.454e-03	1.542e-02
3.271e+01	1.944e-01	7.800e-02	4.194e+02	-1.077e-01	-3.683e-03	2.314e-02
3.271e+01	1.175e+05	2.683e-01	1.219e+02	-1.133e+00	-1.162e-01	7.303e-01
3.271e+01	8.518e-03	2.846e-02	1.150e+03	-1.427e+00	2.349e-03	-1.476e-02
3.271e+01	1.743e-01	1.537e-01	2.128e+02	-1.076e+00	-6.913e-03	4.343e-02
3.453e+01	9.635e-01	1.093e-01	3.160e+02	-5.003e-01	-3.125e-03	1.963e-02
3.453e+01	1.588e-01	8.316e-02	4.153e+02	-2.468e-02	-4.223e-03	2.653e-02
3.453e+01	9.584e-01	-7.605e-02	-4.541e+02	-1.252e+00	-1.861e-02	1.169e-01
3.453e+01	7.362e-04	4.215e-02	8.192e+02	1.903e+00	1.054e-02	-6.622e-02
3.453e+01	1.348e-01	1.761e-01	1.961e+02	-1.455e+00	-7.701e-03	4.839e-02
3.635e+01	8.677e-01	1.157e-01	3.141e+02	-5.055e-01	-3.385e-03	2.127e-02
3.635e+01	3.881e-03	5.248e-02	6.926e+02	-1.377e+00	5.629e-03	-3.537e-02
3.635e+01	1.001e-01	8.842e-02	4.111e+02	6.138e-04	-3.420e-03	2.149e-02
3.635e+01	6.794e-01	-6.807e-02	-5.340e+02	-1.265e+00	-1.730e-02	1.087e-01
3.635e+01	2.508e-02	7.305e-03	4.976e+03	-7.415e-01	-6.030e-03	3.789e-02
3.817e+01	7.508e-01	1.222e-01	3.124e+02	-5.100e-01	-3.608e-03	2.267e-02
3.817e+01	1.785e-02	5.755e-02	6.632e+02	-1.566e+00	8.084e-05	-5.080e-04
3.817e+01	5.875e-02	9.276e-02	4.115e+02	7.189e-02	-2.228e-03	1.400e-02
3.817e+01	4.409e-01	-6.171e-02	-6.185e+02	-1.295e+00	-1.628e-02	1.023e-01
3.817e+01	1.274e-02	1.156e-02	3.302e+03	-8.142e-01	-2.793e-03	1.755e-02
3.998e+01	5.926e-01	1.286e-01	3.108e+02	-5.184e-01	-3.555e-03	2.234e-02
3.998e+01	8.408e-02	6.132e-02	6.521e+02	-1.447e+00	-7.046e-03	4.427e-02
3.998e+01	3.385e-02	9.742e-02	4.104e+02	5.876e-02	-9.647e-04	6.061e-03
4.180e+01	4.924e-01	1.348e-01	3.101e+02	-5.130e-01	-3.855e-03	2.422e-02
4.180e+01	8.390e-02	6.481e-02	6.450e+02	-1.376e+00	-8.839e-03	5.554e-02
4.362e+01	3.897e-01	1.410e-01	3.094e+02	-5.115e-01	-4.094e-03	2.572e-02
4.544e+01	3.078e-01	1.474e-01	3.082e+02	-5.109e-01	-4.386e-03	2.756e-02
4.725e+01	2.337e-01	1.537e-01	3.074e+02	-5.150e-01	-4.581e-03	2.879e-02
4.907e+01	1.750e-01	1.600e-01	3.068e+02	-5.230e-01	-4.831e-03	3.036e-02
5.089e+01	1.292e-01	1.662e-01	3.062e+02	-5.308e-01	-5.125e-03	3.220e-02
5.271e+01	9.214e-02	1.725e-01	3.056e+02	-5.374e-01	-5.341e-03	3.356e-02
